student_key,course_key,snapshot_date,academic_period_key,total_events,active_days,unique_materials,after_hours_events,weekend_events,avg_events_per_active_day,events_per_week,weekend_ratio,after_hours_ratio,lecture_material_views,assignment_views,course_page_views,forum_views,quiz_views,top_material_type,no_activity_flag,risk_label
66,1,2026-07-07,2,213,44,23,39,47,4.840909090909091,33.88636363636364,0.22065727699530516,0.18309859154929578,72,59,74,3,0,Course Page,0,1
67,1,2026-07-07,2,193,18,42,172,40,10.722222222222221,75.05555555555554,0.20725388601036268,0.8911917098445595,39,110,34,7,0,Assignment,0,0
68,1,2026-07-07,2,503,74,30,73,85,6.797297297297297,47.58108108108108,0.16898608349900596,0.14512922465208747,80,69,342,2,0,Course Page,0,1
69,1,2026-07-07,2,151,33,21,57,12,4.575757575757576,32.03030303030303,0.07947019867549669,0.37748344370860926,25,46,78,0,0,Course Page,0,0
70,1,2026-07-07,2,463,46,23,105,76,10.065217391304348,70.45652173913044,0.16414686825053995,0.2267818574514039,95,89,268,8,0,Course Page,0,0
71,1,2026-07-07,2,91,20,14,38,25,4.55,31.849999999999998,0.27472527472527475,0.4175824175824176,4,58,24,5,0,Assignment,0,1
72,1,2026-07-07,2,452,50,30,192,33,9.04,63.279999999999994,0.07300884955752213,0.4247787610619469,79,149,207,8,0,Course Page,0,0
73,1,2026-07-07,2,252,39,35,169,48,6.461538461538462,45.23076923076923,0.19047619047619047,0.6706349206349206,26,106,99,16,0,Assignment,0,1
74,1,2026-07-07,2,327,60,17,149,59,5.45,38.15,0.18042813455657492,0.45565749235474007,52,60,209,0,0,Course Page,0,0
75,1,2026-07-07,2,494,65,23,261,106,7.6,53.199999999999996,0.2145748987854251,0.52834008097166,20,232,240,0,0,Course Page,0,0
76,1,2026-07-07,2,187,29,28,42,24,6.448275862068965,45.137931034482754,0.12834224598930483,0.22459893048128343,27,78,78,1,0,Assignment,0,0
77,1,2026-07-07,2,220,35,24,90,28,6.285714285714286,44.0,0.12727272727272726,0.4090909090909091,69,45,85,15,0,Course Page,0,0
78,1,2026-07-07,2,445,66,26,247,87,6.742424242424242,47.196969696969695,0.19550561797752808,0.5550561797752809,53,56,321,5,0,Course Page,0,1
79,1,2026-07-07,2,375,47,28,104,82,7.9787234042553195,55.851063829787236,0.21866666666666668,0.2773333333333333,111,103,145,3,0,Course Page,0,0
80,1,2026-07-07,2,333,56,21,151,116,5.946428571428571,41.625,0.3483483483483483,0.45345345345345345,52,86,193,2,0,Course Page,0,0
81,1,2026-07-07,2,511,76,37,129,125,6.723684210526316,47.065789473684205,0.2446183953033268,0.25244618395303325,172,149,152,22,0,Lecture Material,0,1
82,1,2026-07-07,2,657,66,28,253,82,9.954545454545455,69.68181818181819,0.1248097412480974,0.3850837138508371,102,236,299,7,0,Course Page,0,0
