student_key,course_key,total_events,active_days,unique_materials,after_hours_events,weekend_events,top_material_type,lecture_material_views,assignment_views,course_page_views,forum_views,quiz_views,avg_events_per_active_day,events_per_week,weekend_ratio,after_hours_ratio,snapshot_date,risk_label,ass_1_with_penalty_100,ass_2_100,ass_2_with_penalty_100,ass_ex_1,ass_ex_10,ass_ex_2,ass_ex_3,ass_ex_4,ass_ex_5,ass_ex_6,ass_ex_7,ass_ex_8,ass_ex_9,assignment_1_100,exam_100,rounded_total_100,total_100,weekly_lab_quizzes_100
61,1,280,49,34,118,59,Lecture Material,106,64,88,14,0,5.714285714285714,40.0,0.21071428571428572,0.42142857142857143,2026-06-23,0,91.0,80.0,80.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0,100.0,60.0,90.0,91.0,78.0,83.0,82.7,93.0
62,1,220,37,28,98,71,Course Page,50,58,105,4,0,5.945945945945946,41.62162162162162,0.32272727272727275,0.44545454545454544,2026-06-23,1,64.0,88.35,88.35,90.0,60.0,70.0,90.0,50.0,95.0,80.0,70.0,75.0,60.0,64.0,18.0,48.0,47.87,74.0
63,1,347,53,31,118,41,Course Page,49,77,204,5,0,6.547169811320755,45.83018867924528,0.11815561959654179,0.3400576368876081,2026-06-23,1,84.0,65.5,65.5,100.0,0.0,60.0,90.0,100.0,90.0,100.0,80.0,40.0,80.0,84.0,20.0,46.0,46.3,74.0
64,1,551,30,28,345,60,Course Page,76,49,410,9,0,18.366666666666667,128.56666666666666,0.1088929219600726,0.6261343012704175,2026-06-23,1,57.0,65.65,65.65,60.0,0.0,0.0,10.0,50.0,0.0,20.0,0.0,80.0,0.0,57.0,0.0,23.0,23.23,22.0
65,1,408,50,34,165,38,Course Page,56,137,180,15,0,8.16,57.12,0.09313725490196079,0.40441176470588236,2026-06-23,0,58.0,88.4,88.4,90.0,90.0,80.0,80.0,79.0,90.0,85.0,90.0,90.0,95.0,58.0,34.0,58.0,57.86,86.9
66,1,213,44,24,39,47,Lecture Material,77,59,74,3,0,4.840909090909091,33.88636363636364,0.22065727699530516,0.18309859154929578,2026-06-23,1,91.0,72.35,72.35,80.0,55.0,70.0,30.0,75.0,75.0,100.0,80.0,60.0,90.0,91.0,17.0,46.0,46.37,71.5
67,1,193,18,42,172,40,Assignment,39,110,34,7,0,10.722222222222221,75.05555555555554,0.20725388601036268,0.8911917098445595,2026-06-23,0,86.0,67.7,67.7,85.0,90.0,100.0,100.0,95.0,100.0,100.0,70.0,70.0,100.0,86.0,57.0,69.0,68.84,91.0
68,1,503,74,31,73,85,Course Page,85,69,342,2,0,6.797297297297297,47.58108108108108,0.16898608349900596,0.14512922465208747,2026-06-23,1,79.0,41.65,41.65,80.0,100.0,30.0,80.0,100.0,70.0,100.0,100.0,100.0,50.0,79.0,24.0,44.0,44.43,81.0
69,1,151,33,22,57,12,Course Page,26,46,78,0,0,4.575757575757576,32.03030303030303,0.07947019867549669,0.37748344370860926,2026-06-23,0,80.0,47.21,47.21,80.0,85.0,80.0,90.0,70.0,50.0,70.0,100.0,60.0,60.0,80.0,52.0,58.0,58.342,74.5
70,1,463,46,24,105,76,Course Page,96,89,268,8,0,10.065217391304348,70.45652173913044,0.16414686825053995,0.2267818574514039,2026-06-23,0,97.0,88.28,88.28,100.0,100.0,100.0,100.0,90.0,100.0,95.0,100.0,95.0,90.0,97.0,75.5,85.0,84.506,97.0
71,1,91,20,14,38,25,Assignment,4,58,24,5,0,4.55,31.849999999999998,0.27472527472527475,0.4175824175824176,2026-06-23,1,80.0,66.0,66.0,75.0,0.0,0.0,75.0,70.0,0.0,75.0,60.0,70.0,5.0,80.0,0.0,30.0,29.8,43.0
72,1,452,50,31,192,33,Course Page,80,149,207,8,0,9.04,63.279999999999994,0.07300884955752213,0.4247787610619469,2026-06-23,0,83.0,96.3,96.3,100.0,100.0,70.0,70.0,80.0,80.0,50.0,40.0,60.0,60.0,83.0,48.0,66.0,65.76,71.0
73,1,252,39,35,169,48,Assignment,26,106,99,16,0,6.461538461538462,45.23076923076923,0.19047619047619047,0.6706349206349206,2026-06-23,1,14.0,0.0,0.0,90.0,90.0,70.0,0.0,0.0,0.0,100.0,40.0,70.0,0.0,14.0,0.0,11.0,10.6,46.0
74,1,327,60,18,149,59,Course Page,53,60,209,0,0,5.45,38.15,0.18042813455657492,0.45565749235474007,2026-06-23,0,92.0,50.0,50.0,85.0,80.0,85.0,85.0,95.0,30.0,85.0,85.0,70.0,85.0,92.0,37.25,54.0,53.525,78.5
75,1,494,65,24,261,106,Course Page,21,232,240,0,0,7.6,53.199999999999996,0.2145748987854251,0.52834008097166,2026-06-23,0,74.0,41.0,41.0,40.0,0.0,60.0,100.0,90.0,60.0,85.0,100.0,100.0,90.0,74.0,49.0,55.0,54.6,72.5
76,1,187,29,28,42,24,Assignment,27,78,78,1,0,6.448275862068965,45.137931034482754,0.12834224598930483,0.22459893048128343,2026-06-23,0,60.0,45.0,45.0,100.0,40.0,90.0,80.0,90.0,20.0,70.0,65.0,60.0,70.0,60.0,48.75,53.0,53.075,68.5
77,1,220,35,24,90,28,Course Page,69,45,85,15,0,6.285714285714286,44.0,0.12727272727272726,0.4090909090909091,2026-06-23,0,54.0,89.35,89.35,50.0,0.0,80.0,100.0,0.0,50.0,0.0,0.0,100.0,0.0,54.0,39.25,50.0,50.495,38.0
78,1,445,66,27,247,87,Course Page,56,56,321,5,0,6.742424242424242,47.196969696969695,0.19550561797752808,0.5550561797752809,2026-06-23,1,92.5,73.3,73.3,90.0,80.0,80.0,0.0,65.0,50.0,70.0,70.0,70.0,100.0,92.5,3.5,39.0,39.16,67.5
79,1,375,47,29,104,82,Course Page,116,103,145,3,0,7.9787234042553195,55.851063829787236,0.21866666666666668,0.2773333333333333,2026-06-23,0,53.5,63.0,63.0,100.0,0.0,90.0,80.0,100.0,60.0,40.0,70.0,100.0,50.0,53.5,61.5,63.0,62.5,69.0
80,1,333,56,21,151,116,Course Page,52,86,193,2,0,5.946428571428571,41.625,0.3483483483483483,0.45345345345345345,2026-06-23,0,83.0,79.3,79.3,100.0,100.0,90.0,90.0,70.0,80.0,90.0,65.0,70.0,65.0,83.0,53.0,67.0,67.06,82.0
81,1,511,76,38,129,125,Lecture Material,176,149,152,22,0,6.723684210526316,47.065789473684205,0.2446183953033268,0.25244618395303325,2026-06-23,1,28.0,48.8,48.8,10.0,75.0,20.0,10.0,25.0,10.0,50.0,60.0,40.0,50.0,28.0,11.0,25.0,25.06,35.0
82,1,657,66,29,253,82,Course Page,111,236,299,7,0,9.954545454545455,69.68181818181819,0.1248097412480974,0.3850837138508371,2026-06-23,0,99.0,88.7,88.7,95.0,70.0,100.0,95.0,80.0,80.0,100.0,100.0,95.0,100.0,99.0,53.5,73.0,72.69,91.5
83,1,325,50,23,92,61,Course Page,36,69,212,7,0,6.5,45.5,0.18769230769230769,0.28307692307692306,2026-06-23,1,58.0,45.3,45.3,50.0,95.0,50.0,60.0,85.0,100.0,100.0,85.0,40.0,75.0,58.0,1.0,30.0,30.16,74.0
84,1,353,46,24,160,45,Course Page,63,58,227,3,0,7.673913043478261,53.71739130434783,0.1274787535410765,0.45325779036827196,2026-06-23,0,69.0,70.2,70.2,100.0,100.0,70.0,75.0,85.0,90.0,100.0,90.0,80.0,90.0,69.0,27.5,52.0,52.29,88.0
85,1,191,35,19,87,43,Course Page,15,72,103,1,0,5.457142857142857,38.2,0.225130890052356,0.45549738219895286,2026-06-23,1,31.0,0.0,0.0,70.0,100.0,30.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,31.0,0.0,21.0,21.0,89.5
86,1,343,47,32,174,43,Course Page,84,66,165,16,0,7.297872340425532,51.08510638297872,0.12536443148688048,0.5072886297376094,2026-06-23,1,64.0,68.1,68.1,40.0,0.0,50.0,70.0,100.0,0.0,40.0,70.0,20.0,0.0,64.0,4.5,30.0,30.07,39.0
87,1,120,14,16,27,13,Assignment,13,60,45,1,0,8.571428571428571,60.0,0.10833333333333334,0.225,2026-06-23,1,42.0,56.0,56.0,100.0,0.0,0.0,75.0,100.0,0.0,0.0,100.0,100.0,100.0,42.0,29.0,41.0,41.4,57.5
88,1,109,19,12,27,28,Course Page,17,37,55,0,0,5.7368421052631575,40.1578947368421,0.25688073394495414,0.24770642201834864,2026-06-23,0,83.0,86.5,86.5,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,61.0,62.0,62.1,30.0
89,1,284,62,20,165,64,Assignment,25,144,100,4,0,4.580645161290323,32.064516129032256,0.22535211267605634,0.5809859154929577,2026-06-23,1,18.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,9.0,9.4,0.0
90,1,502,51,32,95,64,Course Page,81,171,227,15,0,9.843137254901961,68.90196078431373,0.12749003984063745,0.1892430278884462,2026-06-23,0,79.0,82.55,82.55,100.0,80.0,90.0,80.0,90.0,100.0,90.0,100.0,95.0,80.0,79.0,61.5,73.0,73.26,90.5
91,1,311,51,28,149,41,Course Page,60,78,152,13,0,6.098039215686274,42.68627450980392,0.13183279742765272,0.4790996784565916,2026-06-23,0,95.0,84.95,84.95,80.0,95.0,50.0,75.0,85.0,80.0,100.0,90.0,85.0,90.0,95.0,58.5,72.0,72.34,83.0
92,1,488,51,41,75,94,Course Page,129,146,180,28,0,9.568627450980392,66.98039215686275,0.19262295081967212,0.15368852459016394,2026-06-23,1,82.5,72.5,72.5,0.0,100.0,70.0,70.0,95.0,0.0,100.0,0.0,0.0,0.0,82.5,17.0,40.0,39.95,43.5
93,1,188,31,24,45,7,Course Page,59,53,63,7,0,6.064516129032258,42.4516129032258,0.03723404255319149,0.2393617021276596,2026-06-23,1,29.5,23.0,23.0,60.0,0.0,50.0,50.0,5.0,40.0,40.0,0.0,40.0,0.0,29.5,39.0,33.0,32.75,28.5
